Location,Diversity-Index,"Black or African American alone, percent, 2013","American Indian and Alaska Native alone, percent, 2013","Asian alone, percent, 2013","Native Hawaiian and Other Pacific Islander alone, percent,","Two or More Races, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013"
"Aleutians West Census Area, AK",0.769346,7.4,13.8,31.1,2.3,4.8,14.6,29.2
"Queens County, NY",0.742224,20.9,1.3,25.2,0.2,2.7,28.0,26.7
"Maui County, HI",0.740757,0.8,0.6,28.8,10.6,23.3,10.7,31.5
"Alameda County, CA",0.740399,12.4,1.2,28.2,1.0,5.2,22.7,33.2
"Aleutians East Borough, AK",0.738867,7.7,21.8,41.4,0.7,3.7,13.5,12.9
"Hawaii County, HI",0.738772,0.8,0.6,22.1,12.7,29.5,12.2,30.7
"Fort Bend County, TX",0.736427,21.2,0.6,18.4,0.1,2.0,24.0,35.6
HAWAII,0.731461,2.3,0.4,37.7,10.0,23.1,9.8,23.0
"Kauai County, HI",0.730326,0.7,0.5,31.3,9.1,24.6,10.5,30.3
"Solano County, CA",0.725821,14.9,1.3,15.4,1.0,6.7,25.2,40.0
"Honolulu County, HI",0.71441,3.0,0.4,42.6,9.4,21.7,9.2,19.7
"Robeson County, NC",0.704067,24.7,39.5,0.7,0.1,2.5,8.0,26.8
"Gwinnett County, GA",0.702974,26.3,0.8,11.2,0.1,2.4,20.4,41.6
"Yakutat City and Borough, AK",0.698748,0.9,36.6,5.6,1.4,15.9,3.1,37.1
"Santa Clara County, CA",0.694312,2.9,1.4,34.1,0.5,4.0,26.8,33.9
"Kings County, NY",0.692349,35.4,1.0,11.7,0.1,2.3,19.6,36.0
"San Mateo County, CA",0.691029,3.0,0.9,26.9,1.6,4.4,25.4,41.1
"Manassas Park city, VA",0.690899,15.0,1.3,9.7,0.3,3.7,34.7,39.4
"Dallas County, TX",0.69039,23.1,1.1,5.7,0.1,1.7,39.0,31.7
"Montgomery County, MD",0.687803,18.6,0.7,14.9,0.1,3.1,18.3,47.0
"Sacramento County, CA",0.687281,10.8,1.6,15.4,1.2,5.9,22.3,47.3
"Contra Costa County, CA",0.686497,9.6,1.0,15.9,0.6,5.0,24.9,46.3
"Hoke County, NC",0.686301,34.1,9.6,1.5,0.4,4.1,12.2,41.4
"San Joaquin County, CA",0.685223,8.1,2.0,15.7,0.7,5.1,40.1,34.6
"Cook County, IL",0.684969,24.6,0.8,6.9,0.1,1.8,24.7,43.4
"Harris County, TX",0.682123,19.5,1.1,6.8,0.1,1.7,41.6,31.9
"Prince William County, VA",0.681277,21.4,1.1,8.2,0.2,4.2,21.5,46.7
"Hudson County, NJ",0.681081,15.1,1.2,15.0,0.2,2.5,42.9,29.8
"San Francisco County, CA",0.679829,6.0,0.8,34.4,0.5,4.1,15.3,41.6
"Middlesex County, NJ",0.678917,11.0,0.6,23.5,0.1,2.0,19.5,46.4
"Wyandotte County, KS",0.678912,25.1,1.4,3.4,0.2,3.1,27.1,42.7
"Broward County, FL",0.678237,28.5,0.4,3.6,0.1,2.0,26.9,40.8
CALIFORNIA,0.674524,6.6,1.7,14.1,0.5,3.7,38.4,39.0
"Clark County, NV",0.673066,11.5,1.2,9.6,0.8,4.2,30.0,46.1
"Orange County, FL",0.671218,22.0,0.6,5.4,0.2,2.4,28.7,44.1
"Union County, NJ",0.669656,23.4,0.7,5.2,0.1,1.9,29.3,43.2
"Kalawao County, HI",0.667849,0.0,0.0,8.9,47.8,15.6,1.1,26.7
"Essex County, NJ",0.667286,41.9,0.7,5.1,0.1,2.2,21.7,32.7
"Kodiak Island Borough, AK",0.665746,1.3,13.0,20.3,1.0,6.8,8.4,51.4
"Orange County, CA",0.663094,2.1,1.1,19.2,0.4,3.2,34.2,42.6
"Manassas city, VA",0.662891,15.6,1.3,5.7,0.3,3.6,32.9,44.7
"Los Angeles County, CA",0.661865,9.2,1.5,14.6,0.4,2.9,48.3,27.2
"Jefferson County, TX",0.661628,34.4,1.0,3.8,0.1,1.5,18.5,42.9
"Suffolk County, MA",0.660503,24.5,0.8,8.7,0.2,2.9,21.3,47.5
"New York County, NY",0.658205,18.4,1.2,12.1,0.2,3.1,25.8,47.5
"Waller County, TX",0.655844,25.8,1.5,0.7,0.1,1.4,29.5,43.6
"Bell County, TX",0.653821,22.4,1.1,3.2,0.8,4.3,23.2,48.9
"Durham County, NC",0.651831,38.7,1.0,4.8,0.1,2.3,13.5,42.1
"San Diego County, CA",0.650181,5.6,1.3,11.7,0.6,4.2,32.9,47.2
"Philadelphia County, PA",0.649776,44.2,0.8,6.9,0.1,2.4,13.3,36.3
"Fairfax County, VA",0.649676,9.9,0.7,18.8,0.1,3.4,16.2,52.7
"Bristol Bay Borough, AK",0.648271,0.0,33.8,1.1,0.3,17.5,3.9,45.3
"Sutter County, CA",0.647059,2.4,2.3,16.2,0.4,4.2,29.6,48.6
"San Juan County, NM",0.645004,0.8,38.9,0.6,0.1,2.6,19.3,40.7
"Tarrant County, TX",0.644473,15.9,0.9,5.0,0.2,2.2,27.6,50.1
"Mercer County, NJ",0.642078,21.1,0.6,10.0,0.2,2.1,16.2,52.6
"Yolo County, CA",0.642001,3.0,1.8,13.5,0.6,4.9,31.3,48.8
TEXAS,0.641294,12.4,1.0,4.3,0.1,1.8,38.4,44.0
"Alexandria city, VA",0.641095,22.4,0.8,6.8,0.2,3.0,16.9,52.4
"Cibola County, NM",0.64104,1.4,41.7,0.6,0.1,2.1,37.4,21.1
"Brazoria County, TX",0.637752,13.3,0.8,6.0,0.1,1.8,28.9,50.7
"Cumberland County, NC",0.636081,37.4,1.7,2.6,0.4,4.3,10.7,45.8
NEVADA,0.635404,9.0,1.6,8.1,0.7,3.9,27.5,52.2
"Mecklenburg County, NC",0.634781,32.1,0.8,5.2,0.1,2.2,12.6,49.3
"Liberty County, GA",0.63442,40.9,0.8,2.4,0.5,4.3,11.6,42.7
"Sandoval County, NM",0.634152,2.6,13.5,1.7,0.2,2.7,36.9,45.8
"Cumberland County, NJ",0.633302,21.8,1.6,1.4,0.1,2.7,28.6,48.6
"Scotland County, NC",0.632352,39.1,11.3,0.9,0.0,2.2,2.7,44.8
"Passaic County, NJ",0.63216,14.7,1.5,5.6,0.2,2.4,38.9,43.7
"Potter County, TX",0.62912,10.8,1.3,4.6,0.1,2.0,36.7,47.1
"Fulton County, GA",0.626907,44.4,0.3,6.3,0.1,2.0,7.7,40.7
"Hillsborough County, FL",0.626423,17.4,0.5,3.9,0.1,2.5,26.0,52.3
"Riverside County, CA",0.624784,7.0,1.9,6.7,0.4,3.3,46.9,38.0
"San Bernardino County, CA",0.624636,9.5,2.0,7.1,0.5,3.4,51.1,31.4
"Travis County, TX",0.623218,8.9,1.4,6.2,0.1,2.4,33.8,50.0
"Cherokee County, OK",0.621119,1.5,34.6,0.7,0.1,9.3,6.5,49.6
"Milwaukee County, WI",0.619602,27.1,0.9,3.8,0.0,2.6,14.0,53.4
"Falls County, TX",0.61956,25.2,0.9,0.5,0.1,1.6,22.2,51.7
"Fresno County, CA",0.618892,5.9,3.0,10.5,0.3,2.9,51.6,31.4
"Sampson County, NC",0.617255,27.1,3.1,0.5,0.2,1.7,18.0,52.5
"Jasper County, SC",0.61602,45.5,0.7,0.8,0.1,1.2,14.1,39.6
"Greene County, NC",0.615762,36.5,2.2,0.4,0.2,1.1,14.8,47.8
"Newport News city, VA",0.614894,41.2,0.6,3.1,0.2,3.9,8.2,45.4
"District of Columbia, DC",0.614376,49.5,0.6,3.9,0.1,2.6,10.1,35.8
DISTRICT OF COLUMBIA,0.614376,49.5,0.6,3.9,0.1,2.6,10.1,35.8
"Howard County, MD",0.614333,18.4,0.4,16.2,0.1,3.5,6.3,56.6
"Adair County, OK",0.614293,0.5,44.0,0.5,0.0,10.3,5.8,42.2
"Duplin County, NC",0.614029,25.9,1.4,0.6,0.4,1.3,21.2,52.3
"Wharton County, TX",0.613554,14.4,0.7,0.6,0.0,0.9,39.0,46.2
"Muskogee County, OK",0.612919,11.1,18.5,0.7,0.1,8.2,5.6,57.5
"North Slope Borough, AK",0.612887,1.1,52.5,5.1,1.6,5.5,3.4,32.3
MARYLAND,0.612776,30.1,0.6,6.1,0.1,2.6,9.0,53.3
"Matagorda County, TX",0.612762,11.4,1.2,2.2,0.1,1.3,40.0,46.2
"Norfolk city, VA",0.61266,42.8,0.7,3.7,0.2,3.4,7.3,44.3
"Comanche County, OK",0.612108,17.6,6.2,2.5,0.7,6.2,12.5,57.7
"Cobb County, GA",0.609575,26.7,0.5,4.9,0.1,2.3,12.6,54.8
"Hendry County, FL",0.60928,13.4,2.2,1.1,0.2,1.1,50.3,34.5
NEW MEXICO,0.608758,2.5,10.4,1.6,0.2,2.4,47.3,39.4
"Socorro County, NM",0.608129,1.3,12.7,1.5,0.1,2.3,49.3,36.3
"Graham County, AZ",0.607962,2.0,14.0,0.6,0.2,1.7,31.5,52.2
"Jefferson Parish, LA",0.607961,27.0,0.6,4.1,0.1,1.6,13.4,54.7
"Hoonah-Angoon Census Area, AK",0.606696,0.6,39.0,0.7,0.1,10.3,4.5,47.8
"Denver County, CO",0.60615,10.2,2.0,3.8,0.2,3.1,30.9,53.4
"Osceola County, FL",0.605921,13.1,0.8,3.0,0.2,2.5,48.6,37.3
"Westchester County, NY",0.605911,15.9,0.8,6.1,0.1,2.2,23.3,55.7
"Oklahoma County, OK",0.605322,15.8,4.2,3.2,0.1,5.1,16.0,58.2
"Navajo County, AZ",0.605139,1.2,44.8,0.6,0.1,2.0,11.0,42.6
"Atlantic County, NJ",0.602527,17.3,0.7,8.1,0.1,2.5,18.2,57.2
"Lake County, IN",0.602447,25.5,0.5,1.5,0.1,1.7,17.8,54.8
NEW JERSEY,0.601993,14.7,0.6,9.2,0.1,2.0,18.9,57.6
"Coconino County, AZ",0.601825,1.6,27.4,1.7,0.2,2.7,13.9,55.0
"Stewart County, GA",0.601801,50.8,0.6,1.2,0.0,1.5,25.1,27.7
"Anchorage Municipality, AK",0.601515,6.3,8.1,8.9,2.3,7.8,8.6,60.5
"Stanislaus County, CA",0.6011,3.2,1.9,5.8,0.9,3.8,43.5,45.1
"Rockdale County, GA",0.601064,49.5,0.5,2.0,0.1,2.0,10.1,37.8
"Mitchell County, TX",0.601006,12.8,1.5,0.6,0.0,1.6,38.7,48.2
NEW YORK,0.600981,17.5,1.0,8.2,0.1,2.3,18.4,57.2
"Charles County, MD",0.600455,43.1,0.7,3.3,0.1,3.6,5.0,45.7
"Charles City County, VA",0.600308,47.3,7.2,0.4,0.1,2.7,1.7,41.2
"Prince of Wales-Hyder Census Area, AK",0.600004,0.4,40.1,0.7,0.5,8.8,3.1,48.0
"Otero County, NM",0.599061,4.1,7.2,1.5,0.4,2.9,35.6,51.6
"Telfair County, GA",0.5979,36.2,0.3,0.8,0.1,1.0,14.1,50.1
"DeKalb County, GA",0.597853,54.8,0.5,5.6,0.1,2.0,9.1,30.0
"Guilford County, NC",0.597774,33.8,0.7,4.5,0.1,2.1,7.5,52.9
"Muscogee County, GA",0.597696,46.0,0.5,2.4,0.2,2.7,7.3,42.9
FLORIDA,0.597203,16.7,0.5,2.7,0.1,1.9,23.6,56.4
"Douglas County, GA",0.597172,42.5,0.4,1.7,0.2,2.3,8.9,46.2
"Ventura County, CA",0.596774,2.2,1.9,7.3,0.3,3.3,41.5,47.3
"Kern County, CA",0.596651,6.3,2.7,5.0,0.3,3.0,50.9,36.9
"Kings County, CA",0.59646,7.4,3.0,4.3,0.3,3.6,52.7,34.1
"Titus County, TX",0.59568,10.3,2.4,0.9,0.2,1.2,40.9,47.5
"Geary County, KS",0.595468,18.7,1.3,3.7,0.8,5.7,14.6,58.6
"Wilson County, NC",0.594718,39.6,0.5,1.0,0.1,1.4,10.0,48.8
"Henrico County, VA",0.591778,30.0,0.4,7.6,0.1,2.2,5.3,55.6
"Madison County, TX",0.5916,20.3,1.1,0.8,0.1,1.6,21.8,56.5
"Clarke County, GA",0.591439,27.3,0.4,4.3,0.1,1.9,10.7,56.6
"Duval County, FL",0.591257,30.0,0.4,4.5,0.1,2.6,8.3,55.6
"Bernalillo County, NM",0.591041,3.4,5.7,2.7,0.2,2.9,48.8,40.6
GEORGIA,0.59088,31.4,0.5,3.7,0.1,1.9,9.2,54.8
"Brazos County, TX",0.590878,11.3,0.7,5.5,0.1,1.8,24.5,57.7
"Yuba County, CA",0.590487,3.9,3.0,7.2,0.5,5.9,26.9,57.1
"Leake County, MS",0.590242,41.7,6.7,0.3,0.0,0.9,4.3,47.9
"Henry County, GA",0.589671,39.6,0.3,3.3,0.1,2.1,6.3,49.8
"Atkinson County, GA",0.588653,17.9,1.3,0.8,1.0,1.9,24.6,56.4
"Wayne County, MI",0.588653,39.6,0.5,2.9,0.0,2.3,5.6,50.0
"Somerset County, NJ",0.587819,9.8,0.3,15.9,0.1,1.9,13.9,59.8
"Loudoun County, VA",0.587233,7.7,0.5,16.5,0.1,3.5,13.1,60.1
"Dakota County, NE",0.587216,4.4,3.8,3.7,0.3,1.5,36.5,52.4
"Scott County, MS",0.58712,38.1,0.7,0.4,0.5,1.2,10.7,50.6
"Peach County, GA",0.586408,45.0,0.6,0.9,0.1,1.7,7.4,45.3
"Wayne County, NC",0.586224,32.0,0.8,1.3,0.1,2.2,10.7,54.7
"Camp County, TX",0.58605,16.9,1.2,0.9,0.2,2.2,23.0,57.6
"Mahnomen County, MN",0.585015,0.3,41.3,0.2,0.0,9.3,2.3,48.5
"Palm Beach County, FL",0.584873,18.5,0.6,2.6,0.1,1.6,20.3,58.2
"Galveston County, TX",0.584602,13.7,0.8,3.3,0.1,1.9,23.5,58.3
"Hampton city, VA",0.584464,49.7,0.5,2.4,0.2,3.6,5.1,40.5
"Hempstead County, AR",0.584416,29.7,0.6,0.5,0.1,1.8,12.5,55.8
"Moore County, TX",0.584092,2.7,1.5,7.8,0.2,1.2,52.9,35.9
"Walker County, TX",0.58408,22.8,0.8,1.1,0.1,1.4,17.5,57.7
"Colquitt County, GA",0.583928,23.5,1.3,0.9,0.1,1.2,17.6,57.4
"Santa Barbara County, CA",0.583869,2.4,2.2,5.6,0.2,3.5,44.1,46.5
"DeSoto County, FL",0.583858,13.3,1.1,0.8,0.2,1.2,30.2,55.4
"Napa County, CA",0.583815,2.3,1.3,7.7,0.4,3.1,33.4,54.5
"Chatham County, GA",0.583735,40.2,0.3,2.7,0.1,2.1,5.9,50.0
"Davidson County, TN",0.583618,28.1,0.5,3.2,0.1,2.3,9.9,57.1
"Hardee County, FL",0.583248,7.5,1.2,1.3,0.1,1.4,42.9,47.6
"Richmond city, VA",0.583002,50.1,0.6,2.4,0.2,2.2,6.4,40.1
"Camden County, NJ",0.582783,21.0,0.6,5.6,0.1,2.2,15.4,58.8
"Lee County, NC",0.582159,20.0,1.4,1.1,0.1,1.9,19.9,58.1
"Warren County, NC",0.581779,51.7,5.6,0.4,0.0,1.6,4.0,38.2
"Bergen County, NJ",0.581402,6.7,0.4,15.9,0.1,1.9,17.9,59.7
"McLennan County, TX",0.58121,15.0,1.1,1.6,0.1,1.8,24.8,57.8
"Bradley County, AR",0.580794,27.4,2.3,0.4,0.0,1.5,14.4,56.8
"Fairfax city, VA",0.580696,5.5,0.8,15.5,0.1,3.2,16.6,60.3
"Curry County, NM",0.580366,6.9,2.0,1.6,0.2,2.8,39.8,50.5
"Guadalupe County, TX",0.580362,7.7,1.0,1.7,0.2,2.4,36.6,52.8
"Richland County, SC",0.580247,46.8,0.4,2.6,0.1,2.0,5.0,44.4
ARIZONA,0.580068,4.6,5.3,3.2,0.3,2.6,30.3,56.7
"St. Louis city, MO",0.578466,47.9,0.3,3.1,0.0,2.3,3.7,43.5
"Collin County, TX",0.578365,9.4,0.7,12.3,0.1,2.4,15.0,61.2
"Robertson County, TX",0.577508,21.3,0.9,0.8,0.0,1.5,19.2,58.3
"Caddo County, OK",0.577476,3.0,25.4,0.3,0.1,6.1,11.1,58.4
"Hopewell city, VA",0.577249,39.1,0.5,1.1,0.2,3.0,6.8,51.4
"Neshoba County, MS",0.577085,21.2,16.4,0.5,0.0,1.5,1.9,59.2
"Pima County, AZ",0.576978,4.0,4.2,3.0,0.2,2.8,35.7,53.9
"Tyrrell County, NC",0.576528,36.6,0.7,2.3,0.0,1.5,6.8,53.3
"Merced County, CA",0.576306,4.2,2.5,8.1,0.4,3.0,56.8,30.2
"Crowley County, CO",0.57623,9.2,3.4,1.3,0.0,1.8,29.6,57.1
"Karnes County, TX",0.576124,9.3,1.2,0.3,0.0,0.7,51.2,39.1
"Coryell County, TX",0.576055,17.2,1.2,2.2,0.8,4.1,17.2,60.2
"Marlboro County, SC",0.575977,51.2,4.7,0.4,0.0,1.7,3.1,39.8
"Midland County, TX",0.575881,6.8,1.1,1.6,0.1,1.4,41.1,50.0
"Hamilton County, FL",0.575657,33.9,0.9,0.8,0.0,1.8,9.3,54.8
"Calhoun County, TX",0.575457,3.0,0.8,4.9,0.0,1.1,47.6,44.1
"Navarro County, TX",0.575335,14.0,1.1,0.8,0.8,1.6,25.2,58.4
"Victoria County, TX",0.575256,6.8,0.8,1.3,0.1,1.4,44.9,46.7
"East Baton Rouge Parish, LA",0.574996,46.0,0.3,3.2,0.0,1.3,3.9,45.9
"Bladen County, NC",0.573888,34.7,2.8,0.3,0.0,1.5,7.4,54.7
"Forsyth County, NC",0.573836,27.1,0.8,2.1,0.1,2.1,12.4,58.0
"Tift County, GA",0.573803,30.4,0.4,1.5,0.1,1.3,10.9,56.7
"Caldwell County, TX",0.57378,7.1,1.5,1.0,0.1,1.6,48.9,42.6
"Swisher County, TX",0.57337,7.7,1.5,0.4,0.1,1.3,42.1,49.3
ALASKA,0.57334,3.9,14.7,5.8,1.2,7.1,6.6,62.5
"Gregg County, TX",0.572375,20.3,0.9,1.3,0.1,1.8,17.5,59.6
"Shelby County, TN",0.572351,53.1,0.3,2.5,0.1,1.4,5.9,37.6
"Adams County, CO",0.572274,3.5,2.2,4.0,0.2,2.9,38.6,52.4
"Pulaski County, AR",0.572213,35.7,0.6,2.2,0.1,2.0,5.9,54.4
"Marion County, IN",0.572081,27.6,0.5,2.4,0.1,2.6,9.7,58.4
"Northampton County, VA",0.57207,35.8,0.2,0.8,0.2,1.7,8.2,54.1
"Gadsden County, FL",0.572044,55.4,0.6,0.7,0.1,1.1,10.3,33.2
"Fredericksburg city, VA",0.571987,24.1,0.8,3.1,0.1,3.7,11.1,59.6
"Maricopa County, AZ",0.571908,5.7,2.7,4.0,0.3,2.7,30.0,57.6
"Nash County, NC",0.571598,39.0,0.9,1.0,0.0,1.8,6.6,52.1
"Saluda County, SC",0.571553,26.4,1.4,0.3,1.1,1.1,14.8,58.0
"Lenoir County, NC",0.571432,40.9,0.6,0.7,0.2,1.1,7.1,50.6
"Finney County, KS",0.571327,3.1,1.4,4.0,0.1,1.5,47.9,44.3
"Lubbock County, TX",0.570089,7.8,1.1,2.3,0.1,1.6,33.4,55.8
"Prince George County, VA",0.569355,32.4,0.7,1.9,0.3,2.9,7.2,56.5
"Monterey County, CA",0.569329,3.6,2.7,6.9,0.6,3.7,56.8,31.6
"Pinal County, AZ",0.569087,4.8,6.8,1.9,0.4,2.8,29.0,58.2
"Howard County, TX",0.568861,7.0,1.5,1.1,0.1,1.6,39.4,52.0
"Refugio County, TX",0.568622,6.8,1.0,0.8,0.0,1.4,48.7,43.5
"Chattahoochee County, GA",0.568621,18.5,1.3,2.4,0.8,3.8,15.1,61.0
"Evans County, GA",0.568559,30.9,0.6,1.1,0.3,1.2,11.9,56.7
"St. Lucie County, FL",0.568454,20.0,0.6,1.8,0.1,2.0,17.2,60.1
"Long County, GA",0.568373,26.1,0.7,1.1,0.4,3.6,11.8,59.0
"Grimes County, TX",0.567388,16.5,0.8,0.5,0.1,1.4,22.6,59.5
"St. Mary Parish, LA",0.566763,32.7,1.9,1.7,0.1,1.8,6.2,56.7
"Nacogdoches County, TX",0.56654,18.4,0.9,1.5,0.1,1.6,18.5,60.4
"Vance County, NC",0.566401,50.7,0.7,0.6,0.0,1.3,7.0,41.4
